ytrue,yhat
25355.0,19957.000399864537
26858.999999999996,24612.638240212807
20969.0,24162.171771704838
25770.0,20989.509057567055
25287.0,20192.543805889018
22252.0,19343.55856898576
24725.0,19940.821829168784
24837.0,19424.66108142096
21033.0,18820.724540362982
17042.0,22312.132440607606
16593.0,24255.65622767514
17989.0,24391.803466302026
19183.0,21096.12391037435
16982.0,24026.029534863537
20854.0,23518.994670135107
19036.0,19648.848065031907
17830.0,18011.919336307954
17258.0,17193.52296620045
22483.0,18009.3745886301
18780.0,18904.80658568001
16807.0,19372.713458931303
17866.0,18147.963904652115
17629.0,18104.133879880934
17602.0,17974.864806595288
14919.000000000002,18834.960662705987
17794.0,19755.52231460557
17687.0,19333.48745892607
17666.0,17140.294694305565
14521.999999999998,16945.361957347202
14926.0,16667.605974681544
15962.0,15742.66201398729
17602.0,16650.266055136097
15378.0,24646.586812776666
17296.0,20862.644153977973
18423.0,23072.216607783474
12030.0,22921.5378999569
19888.0,19963.899367859907
15360.000000000002,19421.039564101084
15953.999999999998,19776.170672184522
16789.0,19695.94885255742
18041.0,19811.432856706026
22048.0,22166.194273511053
21579.0,22247.71946811966
24036.0,20741.999582797664
22874.0,20582.253622978747
16243.000000000002,22176.243810670105
15076.0,19584.389466385528
15485.999999999998,19905.75107289321
11280.0,17899.488202654207
12754.0,18579.81572692973
12276.0,13528.685930107402
14107.999999999998,12906.303356369983
13674.0,13086.302173795928
10264.0,14644.793283720654
12641.0,11823.923150351577
14014.0,17425.488677163914
13668.000000000002,14165.157512443271
13401.999999999998,13273.96785488114
13478.0,13445.320989739579
12197.0,12637.62890183984
9915.0,13506.224334024495
12737.0,13184.021460285101
14567.0,14469.93484666858
13490.0,14729.808055227208
13885.0,11583.727838814131
15190.0,11445.396789293922
10809.0,13492.455454752733
14830.0,12296.274980018146
13632.0,13276.49253624865
13605.0,13879.8627698001
13436.000000000002,13654.899944510706
14757.999999999998,13768.448096916345
11627.0,14705.450277634698
9600.0,13027.287632256652
16211.999999999998,12946.350273139238
14983.0,13558.5633338704
13732.0,13564.1576104026
13634.0,13563.748216716542
13735.0,13259.777005270516
9429.0,11710.560453586082
14723.0,13356.849039843895
12821.0,12557.128284040095
15556.0,12249.382346539642
16775.0,13088.516558303121
11627.0,15212.141796851149
12502.0,12936.97454844884
10810.0,12143.09317116116
12593.0,12558.317786420703
13969.0,14285.052864747473
14282.0,11504.220030375081
16477.0,12810.105794346526
12231.0,14213.85892704693
14015.0,11722.861334186497
15975.0,12641.979546836023
11842.0,12333.888260564467
13108.0,11367.298075426685
11946.0,12216.130079817643
13271.0,11466.82155204937
13488.000000000002,10357.580360322427
12994.000000000002,13643.481163422728
13343.0,14019.71183090561
13179.0,13434.46927547722
13204.0,12819.238381868474
9862.0,12649.565288546844
15043.999999999998,13336.60885782101
13265.0,14122.094002178179
11076.0,11866.233247033233
13005.0,11904.308682326324
9097.0,12727.779287447216
15698.000000000002,14094.513205063322
10038.0,13274.674280504561
13859.0,12656.718899675867
15480.0,13584.663075855806
11622.0,11181.636345248977
14972.0,10615.937359128478
9841.0,12826.638668179874
13312.0,13217.498944885061
17397.0,14319.070720603622
16332.0,15340.075684370682
16555.0,13626.999735912039
16903.0,16100.28331781929
14970.000000000002,12731.848499116284
13298.999999999998,13302.671948923033
10060.0,12834.99370909474
13098.000000000002,11910.07470566793
13438.0,13076.417072855797
12192.0,13142.604930008287
9147.0,13366.613210835005
12634.0,13966.678459586257
10962.0,12667.096640864656
11100.0,13171.123388457492
13193.999999999998,11327.164899289768
12869.0,14106.151414853524
12300.0,13803.351649352866
13375.999999999998,12091.665920863961
12167.0,13202.94630430141
8381.0,11258.674163692809
13508.999999999998,13246.210218679229
8221.0,11011.68818749906
13423.0,14648.13292473965
12540.0,14106.984829397614
11979.0,12299.527326355488
11883.0,13536.576554203828
12558.0,11015.63275237868
13389.0,13718.157491769383
13269.0,14294.644331749396
10303.0,16256.502906589678
8053.999999999999,13886.339563531523
11955.0,12909.799504437598
10193.0,12013.791468749794
10321.0,10838.985928607228
13305.000000000002,13011.413623046245
13184.0,14042.553437314093
8459.0,13054.349440687693
8383.0,12556.672475730293
10484.0,11527.51784545427
10076.0,12883.520504857841
9097.0,11976.175726708358
13771.000000000002,11309.189356849249
14551.000000000002,13337.734371856075
7682.0,13167.603568931976
8538.0,12591.332376985118
13554.0,11873.944737493737
8515.0,12644.961027034791
8518.0,10554.23372612542
12555.0,11235.218480437654
9578.0,10315.360258446344
11781.0,13686.198122709182
4143.0,12234.409704866024
9250.0,12191.893582780494
16125.0,12285.649251909186
14425.000000000002,12306.5958638722
9385.0,12409.259923030395
18544.0,9896.462730605228
7780.0,12289.74248920593
14546.999999999998,10734.215408856186
8182.0,12611.124647146082
11378.0,8663.497973604735
8899.0,9413.26147207994
12063.0,13294.624476853054
12337.0,13505.760831275267
10113.0,10348.336599873543
13799.000000000002,8803.57650583294
13839.0,9514.04827081064
9453.0,10966.04960719637
5076.0,8612.434248205709
12204.0,7749.2308211705495
11974.0,11314.10333733595
8681.0,11749.926371636198
8492.0,11011.323431687671
13177.0,10613.784830068738
13584.999999999998,9199.606734944402
12395.0,10603.500912408928
11079.0,11331.297049660725
9044.0,14009.535091477173
10713.0,9760.252944293794
10689.0,9907.455275475199
9778.0,11497.632064828347
10976.0,10042.852163985752
12142.0,9560.79694173359
16025.0,11689.014589789489
13361.0,14184.549251816023
8063.0,10164.468405082087
8128.0,10128.46195252057
12335.0,11316.64531461487
9948.0,11035.176498362245
10056.0,13133.184894193377
9583.0,12788.009469671113
13522.0,13240.80203141622
12371.0,8239.972881391952
8223.0,9982.563429191374
7962.999999999999,10627.267144494848
10705.0,9690.995592978772
7245.0,8222.228253305548
7793.999999999999,10020.7220522328
11060.0,12145.84737145613
7266.0,10088.254501942032
9257.0,10313.894031737731
10848.0,12451.063429892114
11434.0,11443.893256410822
10376.0,10270.70646961913
8305.0,11806.763226901461
10571.0,9752.867652862209
6500.0,8222.359818463376
6619.0,8770.842038411194
10132.0,12643.413782404326
13267.0,12609.987103909267
14121.0,11418.567670882561
9292.0,11581.591817836837
9157.0,12143.766897508356
7420.000000000001,6963.556253189008
9034.0,9210.163945274833
8418.0,10471.531500560144
8586.0,12907.563375181991
10114.0,10342.976722177662
13445.0,10159.515954882068
11477.0,13701.293464805332
5866.0,8366.197089679185
8348.0,10832.805844574095
13313.0,8730.481953179518
10085.0,11725.202663867125
8700.0,9882.585544969392
13090.999999999998,12584.53816813915
7222.999999999999,12385.94226872566
11232.0,9490.607058237705
11700.0,10082.491465548694
11052.0,11940.701992434586
7493.999999999999,10667.413040826876
13439.0,7846.579724364519
12627.0,9693.08317003431
14123.0,14515.019654524418
11891.0,12060.582185651963
11532.0,8012.223819612011
11147.0,11232.171293426132
13931.000000000002,12759.8831945283
10450.0,12872.28159076951
10428.0,9478.848363960467
10943.0,9585.85690962135
8225.0,6903.255731454306
8317.0,7795.906819691977
11869.0,10237.591675030026
